,Name,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,Mean Sample 1 (Seconds),SD Sample 1 (Seconds),Mean Sample 2 (Seconds),SD Sample 2 (Seconds),Diff In Seconds,Fraction In Seconds
T-test,Accuracies' Stats BTW Assessment and Testing Path Tracing of Experimental Intervention,,1.4626023060099038,29.0,greater,0.07716513225459343,[-0.09   inf],0.24676828235283943,1.014,0.37266090674835295,18.166666666666668,1.999536983440953,17.622222222222224,2.3265509893773744,0.5444444444444443,0.5444444444444443
T-test,Speed's Stats BTW Assessment and Testing Path Tracing of Experimental Intervention,,2.281367737215432,29.0,greater,0.015026809586088317,[ 4. inf],0.32801535301385126,3.606,0.5436476699686557,160.01003813333332,48.259915980719775,144.33516123333334,45.672086586799665,15.674876899999987,0.09796183466276291
0,Metrics Stats BTW Assessment and Testing for ToH in H2 of Experimental Intervention,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing ToH of Experimental Intervention,,4.163914595625654,29.0,greater,0.00012795758061993494,[2.99  inf],0.49798424899106447,222.84,0.8457089042965876,29.701647566666665,10.876508986075585,24.6487619,8.985990048701009,5.052885666666665,0.17012139327709813
T-test,Interruption Lag's Stats BTW Assessment and Testing ToH of Experimental Intervention,,0.35902356392488993,29.0,greater,0.36108916220840914,[-4.31   inf],0.07548275261982552,0.413,0.10730495429002007,24.591188973333335,10.039209498924354,23.435613316666668,18.770425295547753,1.1555756566666666,0.04699145120310254
T-test,Accuracies' Stats BTW Assessment and Testing ToH of Experimental Intervention,,10.045254494550187,29.0,greater,2.978329412594158e-11,[25.4  inf],1.5357200425827786,3.272e+08,1.0,73.94139194139194,25.506034638940992,43.36604497354497,10.76053567435707,30.57534696784697,30.57534696784697
T-test,Speed's Stats BTW Assessment and Testing ToH of Experimental Intervention,,10.010270057049985,29.0,greater,3.223953081365525e-11,[132.58    inf],0.9488061224224179,3.035e+08,0.9996940019256231,513.40440755,179.41230951928497,353.71779955333335,150.247854134259,159.68660799666662,0.31103474307651885
0,Metrics Stats BTW Assessment and Testing for Path-Tracing in H2 of Control Comparison,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Path Tracing Control Comparison,,6.072673069107506,29.0,greater,6.525617453247648e-07,[11.34   inf],0.8292239350984526,2.757e+04,0.9973464156033917,75.9197758,19.075407404034745,60.1765457,18.24821153126605,15.743230099999998,0.20736665689679235
T-test,Interruption Lag's Stats BTW Assessment and Testing Path Tracing H2 Control Comparison,,2.950638072502621,29.0,greater,0.003108793281559731,[3.13  inf],0.49489519295872547,13.499,0.8417538759162253,27.428497233333335,19.361452728294214,20.0403281,7.484100282546367,7.388169133333335,0.26936106161713563
T-test,Accuracies' Stats BTW Assessment and Testing Path Tracing H2 Control Comparison,,4.328589887335917,29.0,greater,8.14450604652986e-05,[0.74  inf],0.7545447600061417,334.332,0.9915515118542596,17.922222222222224,1.9938485646521484,16.711111111111112,1.0027123709047543,1.2111111111111121,1.2111111111111121
T-test,Speed's Stats BTW Assessment and Testing Path Tracing Control Comparison,,3.9818592878990144,29.0,greater,0.00021012788844367516,[11.57   inf],0.5073621629387184,143.025,0.8573120265444885,144.26377763666667,38.99554479090914,124.09025146666667,39.19077172587799,20.173526170000002,0.1398377784117627
0,Metrics Stats BTW Assessment and Testing for ToH in H2 of Control Comparison,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing ToH Control Comparison,,1.7531942480552085,29.0,greater,0.04506749439626706,[0.11  inf],0.37565236271497404,1.512,0.64218700007537,29.516882066666668,10.097510810348743,25.937969466666665,8.574609716901366,3.5789126000000024,0.12124968321236268
T-test,Interruption Lag's Stats BTW Assessment and Testing ToH H2 Control Comparison,,2.604597055777588,29.0,greater,0.007179161977819145,[1.17  inf],0.4616325000531815,6.642,0.7950057341183115,23.6297608,7.333299939945483,20.2499262,7.060972816987072,3.379834599999999,0.1430329586747234
T-test,Accuracies' Stats BTW Assessment and Testing ToH H2 Control Comparison,,7.295092320348845,29.0,greater,2.4592315262043235e-08,[25.67   inf],1.6223812931255275,5.83e+05,1.0,76.23125763125763,26.794158880637266,42.771560846560845,10.217664913587557,33.45969678469679,33.45969678469679
T-test,Speed's Stats BTW Assessment and Testing ToH Control Comparison,,6.5465940157722216,29.0,greater,1.7990395798227044e-07,[141.73    inf],1.303038974065849,9.11e+04,0.9999999999995232,526.38983546,182.93714737029492,334.9793613333333,90.84043861800178,191.41047412666666,0.3636287428677217
0,Task Type Comparisons for Each performance Metric,,,,,,,,,,,,,,,
T-test,Task Type Comparisons for Resumption,,3.791370017924631,238.0,two-sided,0.00018995032040750574,[ 3.8  12.01],0.48946376462440705,109.34,0.9653196771404352,12.404048416666667,20.657591106181254,4.497598241666666,9.527469636793116,7.906450175000001,0.6374088450329265
T-test,Task Type Comparisons for Interruption,,0.6108969843982247,238.0,two-sided,0.5418507555456309,[-2.02  3.83],0.0788664615607552,0.169,0.09337151914138933,5.526573765,10.315250107434148,4.620230125,12.471269969307423,0.9063436400000002,0.16399738401030828
T-test,Task Type Comparisons for Accuracy,,-11.894043223396931,238.0,two-sided,6.534892704071576e-26,[-33.39 -23.9 ],1.5355143774429165,4.204e+22,1.0,0.8111111111111111,1.849290821696219,29.452952533577534,26.203908449679183,-28.641841422466424,-28.641841422466424
T-test,Task Type Comparisons for Speed,,-10.902660525837529,238.0,two-sided,1.0294784108564606e-22,[-208.06 -144.38],1.4075274215307247,3.153e+19,1.0,17.42701730083333,42.495446621070364,193.645301385,171.1183871395894,-176.21828408416667,-10.111786833180007
0,Task Type Comparisons for Each Performance Metric in EXP,,,,,,,,,,,,,,,
T-test,Task Type Comparisons for Resumption EXP,,2.257119688257421,118.0,two-sided,0.025840459608107734,[ 0.82 12.57],0.41209178941587266,1.89,0.6097981313263248,11.139341216666669,20.598065456980173,4.4456085666666665,9.727013224891895,6.693732650000002,0.6009092027798598
T-test,Task Type Comparisons for Interruption EXP,,0.26521434660275284,118.0,two-sided,0.7913071000482416,[-3.6   4.72],0.04842129340277377,0.201,0.05796466054866474,5.3737332633333335,7.849780549372278,4.8165075250000005,14.100656812357018,0.557225738333333,0.10369434265289253
T-test,Task Type Comparisons for Accuracy EXP,,-8.653045782652988,118.0,two-sided,2.983656921203955e-14,[-40.16 -25.2 ],1.579822788761329,1.765e+11,1.0,0.8611111111111112,1.9372485898215106,33.545977309727306,28.948992726436934,-32.68486619861619,-32.68486619861619
T-test,Task Type Comparisons for Speed EXP,,-7.993601521595196,118.0,two-sided,9.93207461649847e-13,[-231.07 -139.31],1.4594252896951025,6.166e+09,1.0,15.510844100000002,42.167601521184075,200.70104662,172.883226317302,-185.19020251999999,-11.939401964590694
0,Task Type Comparisons for Each Performance Metric in CON,,,,,,,,,,,,,,,
T-test,Task Type Comparisons for Resumption CON,,3.0928383616718143,118.0,two-sided,0.0024749100323916977,[ 3.28 14.96],0.564672445801658,13.201,0.8659844536871947,13.668755616666667,20.639594750063626,4.549587916666666,9.323366518066019,9.119167700000002,0.667154198651468
T-test,Task Type Comparisons for Interruption CON,,0.6002810897576623,118.0,two-sided,0.5494700407409215,[-2.54  4.76],0.10959583123468498,0.229,0.09150014503499279,5.679414266666667,12.294022712140952,4.572971333333333,7.0217193962076925,1.1064429333333337,0.19481638094745315
T-test,Task Type Comparisons for Accuracy CON,,-8.409521168134937,118.0,two-sided,1.0968462116988125e-13,[-30.39 -18.81],1.5353614805348998,5.069e+10,1.0,0.7611111111111112,1.755511602825319,25.35992775742776,22.39954804380405,-24.598816646316646,-24.598816646316646
T-test,Task Type Comparisons for Speed CON,,-7.367803240568306,118.0,two-sided,2.5753010933382406e-11,[-212.2  -122.29],1.345170678039641,2.781e+08,1.0,19.34319050166666,42.73494950889648,186.58955615000002,169.04090573286362,-167.24636564833335,-8.6462657561028
0,Metrics Stats BTW Assessment and Testing for Path-Tracing of Experimental Intervention,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW Assessment and Testing Path Tracing of Experimental Intervention,,4.153929095873495,59.0,greater,5.3434681627021994e-05,[6.66  inf],0.42551851378486466,409.499,0.9466323320265853,84.21857685,27.71983582973195,73.07923563333333,24.070139067395868,11.13934121666668,0.13226703220723776
T-test,Interruption Lag's Stats BTW Assessment and Testing Path Tracing of Experimental Intervention,,5.258290744081205,59.0,greater,1.0558862394097146e-06,[3.67  inf],0.6273875554255377,1.564e+04,0.9992062653208141,25.873627683333336,10.054142124689879,20.49989442,6.5723586811749195,5.373733263333335,0.2076915278020662
T-test,Accuracies' Stats BTW Assessment and Testing Path Tracing of Experimental Intervention,,3.414285592621306,59.0,greater,0.0005810786351940219,[0.44  inf],0.42652242654096023,46.832,0.9474619105789182,18.172222222222224,1.9066080669575622,17.31111111111111,2.0930809000898623,0.8611111111111143,0.8611111111111143
T-test,Speed's Stats BTW Assessment and Testing Path Tracing of Experimental Intervention,,2.82541690555281,59.0,greater,0.003216803346283414,[6.34  inf],0.3032399498697164,10.28,0.75078404498078,161.4857225,52.83973035176183,145.9748784,48.51264993251588,15.510844100000014,0.09605086976032827
0,Metrics Stats BTW Assessment and Testing for ToH of Experimental Intervention,,,,,,,,,,,,,,,
